Zealand Sjællands Erhvervsakademi i Køge;01-02-2024;Høje Taastrup;21;Frafald;0;Autoteknolog;Teknisk;2023 V
Zealand Sjællands Erhvervsakademi i Roskilde;01-02-2023;Faxe;26;Gennemført uddannelse;1;Laborant;Teknisk;2022 V
Zealand Sjællands Erhvervsakademi i Køge;02-09-2024;Brøndby;20;Ikke startet;0;Multimediedesigner;IT & Ledelse;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;03-02-2025;Rødovre;21;Frafald;0;Markedsføringsøkonom;Merkantil;2024 V
Zealand Sjællands Erhvervsakademi i Køge;01-02-2024;København;30;Frafald;0;Autoteknolog;Teknisk;2023 V
Zealand Sjællands Erhvervsakademi i Roskilde;01-02-2024;Glostrup;27;Fastholdt;1;Datamatiker;IT & Ledelse;2023 V
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2022;Rødovre;23;Gennemført uddannelse;1;Datamatiker;IT & Ledelse;2022 S
Zealand Sjællands Erhvervsakademi i Slagelse;02-09-2024;Kalundborg;20;Fastholdt;1;Produktionsteknolog;Teknisk;2024 S
Zealand Sjællands Erhvervsakademi i Næstved;02-09-2024;Ringsted;28;Fastholdt;1;Innovation & Entrepreneurship;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;02-09-2024;København;28;Fastholdt;1;Event Management og Økonomi;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;02-09-2024;Næstved;25;Fastholdt;1;International handel og markedsføring;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2022;Næstved;23;Gennemført uddannelse;1;Markedsføringsøkonom;Merkantil;2022 S
Zealand Sjællands Erhvervsakademi i Roskilde (e-læring);02-09-2024;;30;Ikke startet;0;Markedsføringsøkonom;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Næstved;02-09-2024;Næstved;19;Frafald;0;Finansbachelor;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Køge;01-09-2024;Albertslund;23;Fastholdt;1;Finansøkonom;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-02-2023;Slagelse;40;Gennemført uddannelse;1;Markedsføringsøkonom;Merkantil;2022 V
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2023;København;21;Fastholdt;1;Event Management og Økonomi;Merkantil;2023 S
Zealand Sjællands Erhvervsakademi i Køge;02-09-2024;Furesø;24;Fastholdt;1;Digital konceptudvikling;IT & Ledelse;2024 S
Zealand Sjællands Erhvervsakademi i Køge;01-09-2022;Furesø;22;Gennemført uddannelse;1;Multimediedesigner;IT & Ledelse;2022 S
Zealand Sjællands Erhvervsakademi i Næstved;03-02-2025;Ringsted;22;Frafald;0;Bygningskonstruktør;Teknisk;2024 V
Zealand Sjællands Erhvervsakademi i Slagelse;02-09-2024;Hørsholm;25;Frafald;0;Jordbrugsteknolog;Teknisk;2024 S
Zealand Sjællands Erhvervsakademi i Køge;01-02-2024;Hørsholm;24;Frafald;0;Autoteknolog;Teknisk;2023 V
